,Movie Name,Director,Year,Jump Count,Jump Scare Rating,Netflix (US),Imdb
229,Martyrs,Pascal Laugier,2008,15,3.0,No,7.1
230,May,Lucky McKee,2002,0,0.0,No,6.7
231,Mayhem,Joe Lynch,2017,2,0.5,No,6.5
232,Megan Is Missing,Michael Goi,2011,1,0.5,No,4.9
233,Midsommar,Ari Aster,2019,3,1.0,No,7.4
234,Mirrors,Alexandre Aja,2008,15,4.0,No,6.2
235,Misery,Rob Reiner,1990,3,0.5,No,7.8
236,Mom and Dad,Brian Taylor,2017,5,1.5,No,5.7
237,Morgan,Luke Scott,2016,3,0.5,No,5.9
238,Mother!,Darren Aronofsky,2017,7,2.0,No,7.0
239,Mulholland Drive,David Lynch,2001,1,1.0,No,8.0
240,My Bloody Valentine,George Mihalka,1981,11,2.5,No,6.2
241,My Friend Dahmer,Marc Meyers,2017,0,0.0,No,6.5
242,Nerve,"Henry Joost, Ariel Schulman",2016,1,0.5,No,6.7
243,Nocturnal Animals,Tom Ford,2016,1,1.0,No,7.5
244,Noroi: The Curse,Kôji Shiraishi,2005,4,1.0,No,7.0
245,Oculus,Mike Flanagan,2013,14,3.5,No,6.5
246,Odd Thomas,Stephen Sommers,2013,10,3.0,No,6.9
247,One Hour Photo,Mark Romanek,2002,1,0.5,No,6.8
248,One Missed Call,Eric Valette,2008,15,3.5,No,3.9
249,Only Lovers Left Alive,Jim Jarmusch,2013,0,0.0,No,7.3
250,Orphan,Jaume Collet-Serra,2009,12,3.0,No,7.0
251,Ouija,Stiles White,2014,16,4.0,No,4.4
252,Ouija: Origin of Evil,Mike Flanagan,2016,18,4.0,No,6.1
253,Overlord,Julius Avery,2018,12,2.5,No,7.1
254,P2,Franck Khalfoun,2007,16,4.0,No,5.9
255,Pandorum,Christian Alvart,2009,13,4.0,Yes,6.8
256,Pan's Labyrinth,Guillermo del Toro,2006,6,1.5,No,8.2
257,Paranormal Activity,Oren Peli,2007,10,3.5,No,6.3
258,Paranormal Activity 2,Tod Williams,2010,14,3.5,No,5.7
259,Paranormal Activity 3,"Henry Joost, Ariel Schulman",2011,20,4.0,No,5.9
260,Paranormal Activity 4,"Henry Joost, Ariel Schulman",2012,21,4.0,No,4.6
261,Paranormal Activity: The Ghost Dimension,Gregory Plotkin,2015,29,4.0,No,4.6
262,Patient Zero,Stefan Ruzowitzky,2018,6,1.5,No,4.3
263,Pay The Ghost,Uli Edel,2015,13,3.0,No,5.2
264,Personal Shopper,Olivier Assayas,2016,4,0.5,No,6.2
265,Pet,Carles Torrens,2016,2,1.0,No,5.7
266,Pet Sematary,Mary Lambert,1989,13,3.5,No,6.6
267,Pet Sematary,"Kevin Kölsch, Dennis Widmyer",2019,14,3.5,No,6.4
268,Planet Terror,Robert Rodriguez,2007,14,2.5,No,7.2
269,Poltergeist,Tobe Hooper,1982,9,1.0,Yes,7.4
270,Poltergeist,Gil Kenan,2015,21,4.0,No,5.0
271,Pontypool,Bruce McDonald,2008,1,0.5,No,6.7
272,Predator,John McTiernan,1987,7,2.0,No,7.8
273,Prevenge,Alice Lowe,2016,0,0.5,No,6.1
